regional_council,total_schools_directory,schools_with_rolls,total_students_2025,schools_with_teachers,total_teacher_headcount_latest,total_teacher_ftte_latest,schools_in_ptr_overlap,students_in_ptr_overlap,teacher_headcount_in_ptr_overlap,teacher_ftte_in_ptr_overlap,avg_students_per_school_2025,ptr_headcount_overlap,ptr_ftte_overlap,roll_year,teacher_year
Auckland Region,570,554,298179,512,21047.0,18170.1388,512,279200,21047.0,18170.1388,538.2292418772563,13.265548534232908,15.36587051277781,2025,2024
Canterbury Region,295,290,104521,278,8269.0,6934.2362,278,99384,8269.0,6934.2362,360.4172413793103,12.018865642762124,14.332364392202273,2025,2024
Waikato Region,305,306,87511,299,6864.0,5904.6503,299,84673,6864.0,5904.6503,285.98366013071893,12.335810023310023,14.34005329663638,2025,2024
Wellington Region,252,246,81501,233,6932.0,5867.117,232,77983,6431.0,5436.1637,331.3048780487805,12.126107914787747,14.345226579545425,2025,2024
Bay of Plenty Region,165,163,58126,157,4581.0,3959.2513,157,57613,4581.0,3959.2513,356.60122699386505,12.576511678672778,14.551488560476068,2025,2024
Manawatū-Whanganui Region,198,196,41651,189,3587.0,3055.0068,189,41023,3587.0,3055.0068,212.50510204081633,11.436576526345135,13.428120683724828,2025,2024
Otago Region,147,145,34572,143,2885.0,2448.8334,143,34470,2885.0,2448.8334,238.42758620689656,11.948006932409012,14.0760902722088,2025,2024
Northland Region,155,152,31598,146,2751.0,2365.0346,146,30954,2751.0,2365.0346,207.8815789473684,11.251908396946565,13.088180612664187,2025,2024
Hawke's Bay Region,129,125,30643,121,2605.0,2212.5713,121,30255,2605.0,2212.5713,245.144,11.614203454894433,13.674135608646827,2025,2024
Taranaki Region,94,93,21731,91,1781.0,1499.2397,91,21622,1781.0,1499.2397,233.66666666666666,12.140370578326783,14.421976685916201,2025,2024
Southland Region,82,81,16987,80,1472.0,1253.5907,80,16971,1472.0,1253.5907,209.71604938271605,11.529211956521738,13.537911536835747,2025,2024
Gisborne Region,53,51,8994,50,895.0,775.9555,50,8992,895.0,775.9555,176.35294117647058,10.046927374301676,11.588293400845796,2025,2024
Nelson Region,23,23,8770,21,733.0,597.0055,21,8667,733.0,597.0055,381.30434782608694,11.824010914051842,14.517454194308094,2025,2024
Tasman Region,35,35,7915,35,697.0,566.3124,35,7915,697.0,566.3124,226.14285714285714,11.355810616929698,13.976384765722946,2025,2024
Marlborough Region,30,29,6970,29,588.0,473.5735,29,6970,588.0,473.5735,240.3448275862069,11.853741496598639,14.717884341079051,2025,2024
West Coast Region,35,35,4537,34,450.0,359.6581,34,4435,450.0,359.6581,129.62857142857143,9.855555555555556,12.33115561695955,2025,2024
Area Outside Region,3,3,72,3,8.0,6.7367,3,72,8.0,6.7367,24.0,9.0,10.687725444208588,2025,2024
