regional_council,territorial_authority,education_region,total_schools_directory,schools_with_rolls,total_students_2025,schools_with_teachers,total_teacher_headcount_latest,total_teacher_ftte_latest,schools_in_ptr_overlap,students_in_ptr_overlap,teacher_headcount_in_ptr_overlap,teacher_ftte_in_ptr_overlap,avg_students_per_school_2025,ptr_headcount_overlap,ptr_ftte_overlap,roll_year,teacher_year
Canterbury Region,Christchurch City,"Canterbury, Chatham Islands",145,141.0,63951.0,131.0,4728.0,3961.7164,131.0,58953.0,4728.0,3961.7164000000002,453.5531914893617,12.468908629441625,14.880671418075256,2025,2024
Waikato Region,Hamilton City,Waikato,60,60.0,36412.0,57.0,2680.0,2380.7729,57.0,34866.0,2680.0,2380.7729,606.8666666666667,13.009701492537314,14.64482395611946,2025,2024
Wellington Region,Wellington City,Wellington,82,79.0,30018.0,75.0,2712.0,2293.0468,74.0,27493.0,2211.0,1862.0935,379.9746835443038,12.434644957033017,14.764564722448148,2025,2024
Bay of Plenty Region,Tauranga City,"Bay of Plenty, Waiariki",46,46.0,28590.0,44.0,2103.0,1815.0827,44.0,28157.0,2103.0,1815.0827,621.5217391304348,13.388968140751308,15.512791786291611,2025,2024
Auckland Region,Howick Local Board Area,Tāmaki Herenga Manawa,35,35.0,27918.0,34.0,1797.0,1566.3479,34.0,25573.0,1797.0,1566.3479,797.6571428571428,14.230940456316082,16.326513413782468,2025,2024
Auckland Region,Albert-Eden Local Board Area,Tāmaki Herenga Manawa,33,31.0,23391.0,26.0,1356.0,1164.3197,26.0,19422.0,1356.0,1164.3197,754.5483870967741,14.323008849557523,16.680985471602,2025,2024
Auckland Region,Henderson-Massey Local Board Area,Tāmaki Herenga Tāngata,45,43.0,21779.0,41.0,1503.0,1318.1323,41.0,20907.0,1503.0,1318.1323,506.48837209302326,13.910179640718562,15.861078588241863,2025,2024
Auckland Region,Hibiscus and Bays Local Board Area,Tāmaki Herenga Tāngata,26,25.0,19509.0,23.0,1306.0,1129.4912,23.0,18909.0,1306.0,1129.4912,780.36,14.478560490045941,16.74116628797108,2025,2024
Otago Region,Dunedin City,"Otago, Southland",72,71.0,18213.0,70.0,1506.0,1309.5304,70.0,18162.0,1506.0,1309.5304,256.5211267605634,12.0597609561753,13.869093836996834,2025,2024
Auckland Region,Manurewa Local Board Area,Tāmaki Herenga Waka,33,33.0,17631.0,30.0,1309.0,1165.6273,30.0,17238.0,1309.0,1165.6273,534.2727272727273,13.168831168831169,14.78860352704505,2025,2024
Wellington Region,Lower Hutt City,Wellington,55,53.0,17466.0,51.0,1410.0,1185.6856,51.0,16973.0,1410.0,1185.6856,329.54716981132077,12.03758865248227,14.314924630947697,2025,2024
Auckland Region,Ōtara-Papatoetoe Local Board Area,Tāmaki Herenga Waka,32,31.0,17040.0,30.0,1186.0,1054.394,30.0,17031.0,1186.0,1054.394,549.6774193548387,14.360033726812816,16.15240602658968,2025,2024
Auckland Region,Upper Harbour Local Board Area,Tāmaki Herenga Tāngata,22,22.0,16875.0,19.0,970.0,844.204,19.0,13681.0,970.0,844.204,767.0454545454545,14.104123711340206,16.20579859844303,2025,2024
Northland Region,Whangarei District,Tai Tokerau,55,55.0,16357.0,53.0,1358.0,1172.6818,53.0,16000.0,1358.0,1172.6818,297.4,11.782032400589102,13.643939899126941,2025,2024
Auckland Region,Devonport-Takapuna Local Board Area,Tāmaki Herenga Tāngata,24,24.0,16247.0,22.0,1172.0,995.1270999999999,22.0,16138.0,1172.0,995.1271,676.9583333333334,13.76962457337884,16.21702393593743,2025,2024
Manawatū-Whanganui Region,Palmerston North City,"Taranaki, Whanganui, Manawatū",45,43.0,16158.0,41.0,1334.0,1155.0936,41.0,16008.0,1334.0,1155.0936,375.7674418604651,12.0,13.858617171803221,2025,2024
Taranaki Region,New Plymouth District,"Taranaki, Whanganui, Manawatū",52,51.0,15586.0,50.0,1241.0,1045.0189,50.0,15491.0,1241.0,1045.0189,305.6078431372549,12.482675261885577,14.82365534250146,2025,2024
Hawke's Bay Region,Hastings District,"Hawke's Bay, Tairāwhiti",60,58.0,15494.0,56.0,1317.0,1125.6707,56.0,15164.0,1317.0,1125.6707,267.13793103448273,11.514047076689446,13.471079952600704,2025,2024
Auckland Region,Ōrākei Local Board Area,Tāmaki Herenga Manawa,27,26.0,15414.0,22.0,1051.0,870.3588,22.0,13605.0,1051.0,870.3588,592.8461538461538,12.944814462416746,15.631484394711698,2025,2024
Auckland Region,Māngere-Ōtāhuhu Local Board Area,Tāmaki Herenga Waka,32,32.0,14921.0,31.0,1124.0,1008.1216,31.0,13724.0,1124.0,1008.1216,466.28125,12.209964412811388,13.613437109174132,2025,2024
Canterbury Region,Selwyn District,"Canterbury, Chatham Islands",33,32.0,13525.0,32.0,1024.0,873.1921,32.0,13525.0,1024.0,873.1921,422.65625,13.2080078125,15.489146088243356,2025,2024
Bay of Plenty Region,Rotorua District,"Bay of Plenty, Waiariki",41,40.0,13080.0,39.0,1085.0,963.8411000000001,39.0,13069.0,1085.0,963.8411000000001,327.0,12.04516129032258,13.559288974085042,2025,2024
Auckland Region,Papakura Local Board Area,Tāmaki Herenga Waka,25,23.0,12295.0,21.0,800.0,685.2121,21.0,11010.0,800.0,685.2121,534.5652173913044,13.7625,16.068017479551223,2025,2024
Auckland Region,Franklin Local Board Area,Tāmaki Herenga Waka,39,38.0,12280.0,37.0,911.0,779.4405,37.0,11958.0,911.0,779.4405,323.1578947368421,13.126234906695938,15.341774003275425,2025,2024
Auckland Region,Waitematā Local Board Area,Tāmaki Herenga Manawa,28,21.0,11833.0,18.0,1046.0,859.8192,18.0,9707.0,1046.0,859.8192,563.4761904761905,9.280114722753346,11.289582740185379,2025,2024
Northland Region,Far North District,Tai Tokerau,76,73.0,11622.0,71.0,1067.0,921.7582,71.0,11401.0,1067.0,921.7582000000001,159.2054794520548,10.68509840674789,12.368753540787594,2025,2024
Waikato Region,Waipa District,Waikato,35,35.0,11385.0,34.0,786.0,656.8569,34.0,10208.0,786.0,656.8569,325.2857142857143,12.987277353689567,15.540675602250658,2025,2024
Hawke's Bay Region,Napier City,"Hawke's Bay, Tairāwhiti",36,35.0,11376.0,33.0,925.0,787.9613,33.0,11318.0,925.0,787.9613,325.0285714285714,12.235675675675676,14.363649585328618,2025,2024
Auckland Region,Kaipātiki Local Board Area,Tāmaki Herenga Tāngata,25,25.0,10400.0,25.0,842.0,726.0877,25.0,10400.0,842.0,726.0877,416.0,12.351543942992874,14.323338627000567,2025,2024
Southland Region,Invercargill City,"Otago, Southland",31,30.0,10228.0,29.0,834.0,730.6503,29.0,10212.0,834.0,730.6503,340.93333333333334,12.244604316546763,13.976590442787746,2025,2024
Auckland Region,Rodney Local Board Area,Tāmaki Herenga Tāngata,32,32.0,10007.0,31.0,771.0,642.5815,31.0,9936.0,771.0,642.5815,312.71875,12.88715953307393,15.462630032143782,2025,2024
Auckland Region,Puketāpapa Local Board Area,Tāmaki Herenga Manawa,21,21.0,9873.0,21.0,850.0,729.4451,21.0,9873.0,850.0,729.4451,470.14285714285717,11.615294117647059,13.534945947268683,2025,2024
Auckland Region,Maungakiekie-Tāmaki Local Board Area,Tāmaki Herenga Manawa,28,27.0,9851.0,24.0,799.0,689.047,24.0,9753.0,799.0,689.047,364.85185185185185,12.206508135168962,14.154331997672147,2025,2024
Wellington Region,Porirua City,Wellington,38,36.0,9724.0,34.0,828.0,715.6263,34.0,9361.0,828.0,715.6263,270.1111111111111,11.305555555555555,13.080849599854002,2025,2024
Canterbury Region,Waimakariri District,"Canterbury, Chatham Islands",27,27.0,9269.0,26.0,750.0,624.1716,26.0,9245.0,750.0,624.1716,343.2962962962963,12.326666666666666,14.811631929424536,2025,2024
Gisborne Region,Gisborne District,"Hawke's Bay, Tairāwhiti",53,51.0,8994.0,50.0,895.0,775.9555,50.0,8992.0,895.0,775.9555,176.35294117647058,10.046927374301676,11.588293400845796,2025,2024
Nelson Region,Nelson City,"Nelson, Marlborough, West Coast",23,23.0,8770.0,21.0,733.0,597.0055,21.0,8667.0,733.0,597.0055,381.30434782608694,11.824010914051842,14.517454194308094,2025,2024
Waikato Region,Waikato District,Waikato,46,46.0,8358.0,45.0,665.0,561.3932,45.0,8303.0,665.0,561.3932,181.69565217391303,12.485714285714286,14.789990331197457,2025,2024
Wellington Region,Kapiti Coast District,Wellington,20,20.0,8234.0,20.0,625.0,531.7994,20.0,8234.0,625.0,531.7994,411.7,13.1744,15.483281854022401,2025,2024
Manawatū-Whanganui Region,Whanganui District,"Taranaki, Whanganui, Manawatū",40,40.0,8138.0,37.0,737.0,628.7566,37.0,7819.0,737.0,628.7566,203.45,10.609226594301221,12.43565475097995,2025,2024
Canterbury Region,Timaru District,"Canterbury, Chatham Islands",28,28.0,8090.0,27.0,680.0,573.0235,27.0,7975.0,680.0,573.0235,288.92857142857144,11.727941176470589,13.91740478357345,2025,2024
Wellington Region,Upper Hutt City,Wellington,22,21.0,7936.0,19.0,615.0,527.3874000000001,19.0,7892.0,615.0,527.3874000000001,377.9047619047619,12.832520325203252,14.96433172275257,2025,2024
Tasman Region,Tasman District,"Nelson, Marlborough, West Coast",35,35.0,7915.0,35.0,697.0,566.3124,35.0,7915.0,697.0,566.3124,226.14285714285714,11.355810616929698,13.976384765722946,2025,2024
Auckland Region,Howick Local Board Area,Tāmaki Herenga Waka,9,8.0,7170.0,7.0,482.0,428.10620000000006,7.0,7033.0,482.0,428.10620000000006,896.25,14.591286307053942,16.428166655843803,2025,2024
Auckland Region,Whau Local Board Area,Tāmaki Herenga Manawa,12,12.0,7120.0,12.0,488.0,417.98699999999997,12.0,7120.0,488.0,417.98699999999997,593.3333333333334,14.59016393442623,17.034022589219283,2025,2024
Bay of Plenty Region,Whakatane District,"Bay of Plenty, Waiariki",34,33.0,6997.0,32.0,622.0,523.3514,32.0,6984.0,622.0,523.3514,212.03030303030303,11.228295819935692,13.34476223814439,2025,2024
Marlborough Region,Marlborough District,"Nelson, Marlborough, West Coast",30,29.0,6970.0,29.0,588.0,473.5735,29.0,6970.0,588.0,473.5735,240.3448275862069,11.853741496598639,14.717884341079051,2025,2024
Otago Region,Queenstown-Lakes District,"Otago, Southland",17,16.0,6928.0,15.0,511.0,423.28000000000003,15.0,6877.0,511.0,423.28000000000003,433.0,13.457925636007827,16.246928746928745,2025,2024
