year,school_id,school_name,school_type,authority,gender,regional_council,education_region,territorial_authority,takiwa,total_students,male_students,female_students,another_gender_not_stated_students,european_pakeha_students,maori_students,pacific_students,asian_students,melaa_students,other_students
2025,1,Te Kura o Te Kao,Composite (Year 1-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,Te Tai Raro,74,40.0,34.0,0.0,3,71,0,0,0,0
2025,10,Te Kura Taumata o Panguru,Composite (Year 1-15),State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,Te Tai Raro,123,55.0,68.0,0.0,0,121,2,0,0,0
2025,100,James Cook High School,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Tāmaki Herenga Waka,Auckland- Manurewa,Te Tai Raro,1730,893.0,,,19,650,778,260,22,1
2025,1000,Ahipara School,Full Primary,State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,Te Tai Raro,222,111.0,111.0,0.0,26,185,6,3,2,0
2025,1001,Aranga School,Full Primary,State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Kaipara District,Te Tai Raro,14,9.0,5.0,0.0,1,12,0,0,1,0
2025,1002,Arapohue School,Full Primary,State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Kaipara District,Te Tai Raro,35,16.0,19.0,0.0,22,10,2,0,1,0
2025,1004,Awanui School,Contributing,State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Far North District,Te Tai Raro,46,21.0,25.0,0.0,1,44,0,1,0,0
2025,1007,Blomfield Special School and Resource Ctre,Specialist School,State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Whangarei District,Te Tai Raro,162,111.0,51.0,0.0,47,98,11,4,2,0
2025,1008,Dargaville Intermediate,Intermediate,State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Kaipara District,Te Tai Raro,169,86.0,83.0,0.0,45,102,16,5,1,0
2025,1009,Dargaville Primary School,Contributing,State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Kaipara District,Te Tai Raro,399,190.0,209.0,0.0,165,193,21,17,1,2
2025,101,Papakura High School,Secondary (Year 9-15),State: Not integrated,Co-Ed,Auckland Region,Tāmaki Herenga Waka,Auckland- Papakura,Te Tai Raro,1254,639.0,,,36,610,358,230,14,6
2025,1011,Glenbervie School,Contributing,State: Not integrated,Co-Ed,Northland Region,Tai Tokerau,Whangarei District,Te Tai Raro,224,111.0,113.0,0.0,141,77,3,1,2,0
