teacher_year,school_id,school_name,teacher_headcount,teacher_ftte,school_type,school_authority,local_office,education_region,regional_council,territorial_authority
2024,1,Te Kura o Te Kao,6.0,4.6978,Composite (Year 1-15),State,Whangarei Office,Tai Tokerau,Northland Region,Far North District
2024,2,Taipa Area School,39.0,34.3149,Composite (Year 1-15),State,Whangarei Office,Tai Tokerau,Northland Region,Far North District
2024,3,Kaitaia College,87.0,73.52930000000002,Secondary (Year 9-15),State,Whangarei Office,Tai Tokerau,Northland Region,Far North District
2024,4,Whangaroa College,16.0,14.0931,Secondary (Year 7-15),State,Whangarei Office,Tai Tokerau,Northland Region,Far North District
2024,5,Kerikeri High School,112.0,106.08830000000002,Secondary (Year 7-15),State,Whangarei Office,Tai Tokerau,Northland Region,Far North District
2024,6,Broadwood Area School,15.0,13.9317,Composite (Year 1-15),State,Whangarei Office,Tai Tokerau,Northland Region,Far North District
2024,7,Okaihau College,30.0,30.2728,Secondary (Year 7-15),State,Whangarei Office,Tai Tokerau,Northland Region,Far North District
2024,8,Bay of Islands College,36.0,37.896800000000006,Secondary (Year 9-15),State,Whangarei Office,Tai Tokerau,Northland Region,Far North District
2024,9,Northland College,33.0,28.3256,Secondary (Year 9-15),State,Whangarei Office,Tai Tokerau,Northland Region,Far North District
2024,10,Te Kura Taumata o Panguru,15.0,13.4177,Composite (Year 1-15),State,Whangarei Office,Tai Tokerau,Northland Region,Far North District
2024,11,Opononi Area School,23.0,16.361,Composite (Year 1-15),State,Whangarei Office,Tai Tokerau,Northland Region,Far North District
2024,12,Tauraroa Area School,47.0,39.04729999999999,Composite (Year 1-15),State,Whangarei Office,Tai Tokerau,Northland Region,Whangarei District
2024,13,Te Kamo High School,58.0,53.0696,Secondary (Year 9-15),State,Whangarei Office,Tai Tokerau,Northland Region,Whangarei District
2024,14,Tikipunga High School,34.0,31.047700000000003,Secondary (Year 7-15),State,Whangarei Office,Tai Tokerau,Northland Region,Whangarei District
2024,15,Whangārei Boys' High School,104.0,91.3294,Secondary (Year 9-15),State,Whangarei Office,Tai Tokerau,Northland Region,Whangarei District
