Academic Year,Sector,Female,Male,Unreported,Total
2017-2018,Goverment," 84,852 "," 78,609 ",," 163,461 "
,Non Goverment," 43,093 "," 47,880 ",," 90,973 "
2018-2019,Goverment," 89,301 "," 86,219 ",," 175,520 "
,Non Goverment," 24,296 "," 26,463 ",," 50,759 "
2019-2020,Goverment," 157,948 "," 149,841 ",," 307,789 "
,Non Goverment," 98,884 "," 102,984 ",," 201,868 "
2020-2021,Goverment," 212,241 "," 182,592 "," 3,363 "," 398,196 "
,Non Goverment," 188,543 "," 203,048 ", 505 ," 392,096 "
2021-2022,Goverment," 205,233 "," 173,344 "," 2,257 "," 380,834 "
,Non Goverment," 260,301 "," 287,683 ", 577 ," 548,561 "
2022-2023,Goverment," 197,942 "," 165,076 "," 1,692 "," 364,710 "
,Non Goverment," 445,911 "," 483,639 ", 542 ," 930,092 "
2023-2024,Goverment," 194,669 "," 164,413 "," 1,599 "," 360,681 "
,Non Goverment," 185,589 "," 208,481 ", 269 ," 394,339 "
,,,,,
,,,,,
,,,,,
,*Unreported means data is not available in the system,,,,
