Academic Year _____,Education Type ___ _______ (AR),Education Type ___ _______ (EN),Region _______ _________ (AR),Region _______ _________ (EN),Subject ______ (AR),Subject ______ (EN),Teachers Count ___ ________
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ _______,Arabic Language,30
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,_______,Biology or Life Science,4
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,________,Chemistry,2
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,______ _________,Creative Arts,1
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ __________,English,24
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,____1,Field 1,5
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,____2,Field 2,1
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,____ ____,General Science,20
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,______ ______(____)/______ ______ (____),Health Science/Life Skills,1
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,______ ______,Health Sciences,2
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,_______ _________,Islamic Education,27
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,_________,Mathematics,28
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,________ __________ ________ _______,National and Social Education,21
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,__ _____,Not Applied,1
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,_______ _______ ,Physical Education and Health,1
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,________,Physics,3
2020-2021,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ ____,Special Education,1
2020-2021,_____ _______ _______,Continuous Education,______,AL DHAFRA,_____ _______,Arabic Language,9
2020-2021,_____ _______ _______,Continuous Education,______,AL DHAFRA,_______,Biology or Life Science,1
2020-2021,_____ _______ _______,Continuous Education,______,AL DHAFRA,________,Chemistry,1
2020-2021,_____ _______ _______,Continuous Education,______,AL DHAFRA,_____ __________,English,8
2020-2021,_____ _______ _______,Continuous Education,______,AL DHAFRA,____1,Field 1,1
2020-2021,_____ _______ _______,Continuous Education,______,AL DHAFRA,____ ____,General Science,7
2020-2021,_____ _______ _______,Continuous Education,______,AL DHAFRA,______ ______(____)/______ ______ (____),Health Science/Life Skills,1
2020-2021,_____ _______ _______,Continuous Education,______,AL DHAFRA,______ ______,Health Sciences,1
2020-2021,_____ _______ _______,Continuous Education,______,AL DHAFRA,_______ _________,Islamic Education,9
2020-2021,_____ _______ _______,Continuous Education,______,AL DHAFRA,_________,Mathematics,10
2020-2021,_____ _______ _______,Continuous Education,______,AL DHAFRA,________ __________ ________ _______,National and Social Education,7
2020-2021,_____ _______ _______,Continuous Education,______,AL DHAFRA,________,Physics,2
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,_____ _______,Arabic Language,19
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,_______,Biology or Life Science,3
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,________,Chemistry,1
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,_____ __________,English,17
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,____1,Field 1,1
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,____2,Field 2,1
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,____ ____,General Science,8
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,______ ______(____)/______ ______ (____),Health Science/Life Skills,2
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,______ ______,Health Sciences,2
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,_______ _________,Islamic Education,12
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,_________,Mathematics,22
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,_______ _________,Moral Education,1
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,________ __________ ________ _______,National and Social Education,10
2020-2021,_____ _______ _______,Continuous Education,_____,AL AIN,________,Physics,2
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,_____ _______,Arabic Language,5
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,_______,Biology or Life Science,3
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,________,Chemistry,1
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,_____ __________,English,5
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,____ ____,General Science,1
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,______ ______,Health Sciences,2
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,_______ _________,Islamic Education,5
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,_________,Mathematics,5
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,________ __________ ________ _______,National and Social Education,5
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,________,Physics,2
2020-2021,_____ _______ _______,Continuous Education,___,DUBAI,_____ ____,Special Education,1
2020-2021,_____ _______ _______,Continuous Education,_____,AJMAN,_____ _______,Arabic Language,8
2020-2021,_____ _______ _______,Continuous Education,_____,AJMAN,_____ __________,English,5
2020-2021,_____ _______ _______,Continuous Education,_____,AJMAN,____ ____,General Science,6
2020-2021,_____ _______ _______,Continuous Education,_____,AJMAN,_______ _________,Islamic Education,8
2020-2021,_____ _______ _______,Continuous Education,_____,AJMAN,_________,Mathematics,7
2020-2021,_____ _______ _______,Continuous Education,_____,AJMAN,________ __________ ________ _______,National and Social Education,3
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ _______,Arabic Language,16
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,_______,Biology or Life Science,2
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,________,Chemistry,1
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,Computing and Artificial Intelligence,Computing and Artificial Intelligence,1
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,______ _________,Creative Arts,1
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ __________,English,17
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,____ ____,General Science,9
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,_______ _________,Islamic Education,14
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,_________,Mathematics,16
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,________ __________ ________ _______,National and Social Education,10
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,__ _____,Not Applied,1
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,_______ _______ ,Physical Education and Health,1
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,________,Physics,1
2021-2022,_____ _______ _______,Continuous Education,______,ABU DHABI,�____,Vocational,1
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ _______,Arabic Language,15
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,_______,Biology or Life Science,3
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ _____,Business Management,1
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,________,Chemistry,1
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,____ _________,Computer Science,1
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,______ _________,Creative Arts,1
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ __________,English,17
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,____1,Field 1,1
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,____ ____,General Science,9
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,_______ _________,Islamic Education,15
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,_________,Mathematics,16
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,________ __________ ________ _______,National and Social Education,10
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,_______ _______ ,Physical Education and Health,1
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,________,Physics,3
2022-2023,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ ____,Special Education,1
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ _______,Arabic Language,16
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,_______,Biology or Life Science,2
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,________,Chemistry,1
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ __________,English,13
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,____1,Field 1,4
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,____ ____,General Science,9
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,_______ _________,Islamic Education,13
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,_________,Mathematics,14
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,________ __________ ________ _______,National and Social Education,6
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,_______ _______ ,Physical Education and Health,1
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,________,Physics,1
2023-2024,_____ _______ _______,Continuous Education,______,ABU DHABI,______ _______,Visual Arts,1
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ _______,Arabic Language,15
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,_______,Biology or Life Science,2
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ _____,Business Management,1
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,________,Chemistry,1
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,____ _________,Computer Science,1
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,_____ __________,English,15
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,____1,Field 1,3
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,____ ____,General Science,7
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,_______ _________,Islamic Education,10
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,_________,Mathematics,15
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,________ __________ ________ _______,National and Social Education,7
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,_______ _______ ,Physical Education and Health,1
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,________,Physics,1
2024-2025,_____ _______ _______,Continuous Education,______,ABU DHABI,______ _______,Visual Arts,1
2024-2025,_______ ________,Public,______,ABU DHABI,______ ________,Agricultural Sciences,2
2024-2025,_______ ________,Public,______,ABU DHABI,_____ _______ _ ________ _________,Arabic and Islamic Studies,4
2024-2025,_______ ________,Public,______,ABU DHABI,_____ _______,Arabic Language,397
2024-2025,_______ ________,Public,______,ABU DHABI,_______,Biology or Life Science,104
2024-2025,_______ ________,Public,______,ABU DHABI,_____ _____,Business Management,44
2024-2025,_______ ________,Public,______,ABU DHABI,_______ ________ ________ _________,CCDI,254
2024-2025,_______ ________,Public,______,ABU DHABI,________,Chemistry,112
2024-2025,_______ ________,Public,______,ABU DHABI,_______,Chinese Language,86
2024-2025,_______ ________,Public,______,ABU DHABI,______ _________,Creative Arts,1
2024-2025,_______ ________,Public,______,ABU DHABI,_______ ________ _________,Creative Design and Innovation,2
2024-2025,_______ ________,Public,______,ABU DHABI,_____,Drama,55
2024-2025,_______ ________,Public,______,ABU DHABI,Engineering Maintenance Mechanical,Engineering Maintenance Mechanical,1
2024-2025,_______ ________,Public,______,ABU DHABI,_____ __________,English,388
