case,emirate,education_type,gender,nationality,curriculum,students,schools,teachers,ptr,pf_rows,score_rows,nat_rows,avg_score
UNFILTERED,,,,,,559743,754,39597,14.136,0,0,0,
gender=Female,,,Female,,,278570,754,39597,7.0351,0,0,0,
gender=Male,,,Male,,,281173,754,39597,7.1009,0,0,0,
emirate=ABU DHABI,ABU DHABI,,,,,101821,133,8131,12.5226,0,0,0,
emirate=ABU DHABI | gender=Female,ABU DHABI,,Female,,,52866,133,8131,6.5018,0,0,0,
emirate=ABU DHABI | gender=Male,ABU DHABI,,Male,,,48955,133,8131,6.0208,0,0,0,
emirate=AJMAN,AJMAN,,,,,109996,84,6532,16.8396,0,0,0,
emirate=AJMAN | gender=Female,AJMAN,,Female,,,52945,84,6532,8.1055,0,0,0,
emirate=AJMAN | gender=Male,AJMAN,,Male,,,57051,84,6532,8.7341,0,0,0,
emirate=AL AIN,AL AIN,,,,,68061,117,6207,10.9652,0,0,0,
emirate=AL AIN | gender=Female,AL AIN,,Female,,,34642,117,6207,5.5811,0,0,0,
emirate=AL AIN | gender=Male,AL AIN,,Male,,,33419,117,6207,5.3841,0,0,0,
emirate=AL DHAFRA,AL DHAFRA,,,,,11843,28,1141,10.3795,0,0,0,
emirate=AL DHAFRA | gender=Female,AL DHAFRA,,Female,,,5931,28,1141,5.1981,0,0,0,
emirate=AL DHAFRA | gender=Male,AL DHAFRA,,Male,,,5912,28,1141,5.1814,0,0,0,
emirate=AL FUJAIRAH,AL FUJAIRAH,,,,,49205,65,2783,17.6806,0,0,0,
emirate=AL FUJAIRAH | gender=Female,AL FUJAIRAH,,Female,,,23672,65,2783,8.5059,0,0,0,
emirate=AL FUJAIRAH | gender=Male,AL FUJAIRAH,,Male,,,25533,65,2783,9.1746,0,0,0,
emirate=DUBAI,DUBAI,,,,,45817,67,3174,14.4351,0,0,0,
emirate=DUBAI | gender=Female,DUBAI,,Female,,,22805,67,3174,7.1849,0,0,0,
emirate=DUBAI | gender=Male,DUBAI,,Male,,,23012,67,3174,7.2502,0,0,0,
emirate=Ras Al Khaimah,Ras Al Khaimah,,,,,72137,105,4623,15.6039,0,0,0,
emirate=Ras Al Khaimah | gender=Female,Ras Al Khaimah,,Female,,,34786,105,4623,7.5246,0,0,0,
emirate=Ras Al Khaimah | gender=Male,Ras Al Khaimah,,Male,,,37351,105,4623,8.0794,0,0,0,
emirate=SHARJAH,SHARJAH,,,,,66250,91,4643,14.2688,0,0,0,
