Academic Year,Institution Type_EN,Institution Type_AR,Emirate_EN,Emirate_AR,Sector_EN,Sector_AR,Education Category_AR,Education Category_EN,Total
2017-2018,School,مدرسة,Umm Alquwain,أم القيوين,Non Goverment,غير حكومي,عام,General,3
2017-2018,School,مدرسة,Sharjah,الشارقة,Non Goverment,غير حكومي,عام,General,32
2017-2018,School,مدرسة,Fujairah,الفجيرة,Non Goverment,غير حكومي,عام,General,1
2017-2018,School,مدرسة,Dubai,دبي,Non Goverment,غير حكومي,عام,General,19
2017-2018,School,مدرسة,Ras Alkhaimah,رأس الخيمة,Non Goverment,غير حكومي,عام,General,25
2017-2018,School,مدرسة,Ajman,عجمان,Non Goverment,غير حكومي,عام,General,17
2018-2019,School,مدرسة,Umm Alquwain,أم القيوين,Non Goverment,غير حكومي,عام,General,3
2018-2019,School,مدرسة,Sharjah,الشارقة,Non Goverment,غير حكومي,عام,General,10
2018-2019,School,مدرسة,Fujairah,الفجيرة,Non Goverment,غير حكومي,عام,General,1
2018-2019,School,مدرسة,Dubai,دبي,Non Goverment,غير حكومي,عام,General,20
2018-2019,School,مدرسة,Ras Alkhaimah,رأس الخيمة,Non Goverment,غير حكومي,عام,General,17
2018-2019,School,مدرسة,Ajman,عجمان,Non Goverment,غير حكومي,عام,General,19
2019-2020,School,مدرسة,Umm Alquwain,أم القيوين,Non Goverment,غير حكومي,عام,General,4
2019-2020,School,مدرسة,Fujairah,الفجيرة,Non Goverment,غير حكومي,عام,General,2
2019-2020,School,مدرسة,Dubai,دبي,Non Goverment,غير حكومي,عام,General,61
2019-2020,School,مدرسة,Ras Alkhaimah,رأس الخيمة,Non Goverment,غير حكومي,عام,General,29
2019-2020,School,مدرسة,Ajman,عجمان,Non Goverment,غير حكومي,عام,General,20
2020-2021,School,مدرسة,Abu Dhabi,أبوظبي,Non Goverment,غير حكومي,عام,General,227
2020-2021,School,مدرسة,Umm Alquwain,أم القيوين,Non Goverment,غير حكومي,عام,General,7
2020-2021,School,مدرسة,Fujairah,الفجيرة,Non Goverment,غير حكومي,عام,General,16
2020-2021,School,مدرسة,Dubai,دبي,Non Goverment,غير حكومي,عام,General,51
2020-2021,School,مدرسة,Ras Alkhaimah,رأس الخيمة,Non Goverment,غير حكومي,عام,General,31
2020-2021,School,مدرسة,Ajman,عجمان,Non Goverment,غير حكومي,عام,General,44
2021-2022,School,مدرسة,Abu Dhabi,أبوظبي,Non Goverment,غير حكومي,عام,General,240
2021-2022,School,مدرسة,Umm Alquwain,أم القيوين,Non Goverment,غير حكومي,عام,General,7
2021-2022,School,مدرسة,Sharjah,الشارقة,Non Goverment,غير حكومي,عام,General,116
2021-2022,School,مدرسة,Fujairah,الفجيرة,Non Goverment,غير حكومي,عام,General,15
2021-2022,School,مدرسة,Dubai,دبي,Non Goverment,غير حكومي,عام,General,25
2021-2022,School,مدرسة,Ras Alkhaimah,رأس الخيمة,Non Goverment,غير حكومي,عام,General,31
2021-2022,School,مدرسة,Ajman,عجمان,Non Goverment,غير حكومي,عام,General,42
2022-2023,School,مدرسة,Abu Dhabi,أبوظبي,Non Goverment,غير حكومي,عام,General,247
2022-2023,School,مدرسة,Umm Alquwain,أم القيوين,Non Goverment,غير حكومي,عام,General,8
2022-2023,School,مدرسة,Sharjah,الشارقة,Non Goverment,غير حكومي,عام,General,130
2022-2023,School,مدرسة,Fujairah,الفجيرة,Non Goverment,غير حكومي,عام,General,17
2022-2023,School,مدرسة,Dubai,دبي,Non Goverment,غير حكومي,عام,General,221
2022-2023,School,مدرسة,Ras Alkhaimah,رأس الخيمة,Non Goverment,غير حكومي,عام,General,36
2022-2023,School,مدرسة,Ajman,عجمان,Non Goverment,غير حكومي,عام,General,43
2023-2024,School,مدرسة,Abu Dhabi,أبوظبي,Non Goverment,غير حكومي,عام,General,2
2023-2024,School,مدرسة,Abu Dhabi,أبوظبي,Non Goverment,غير حكومي,عام,General,249
2023-2024,School,مدرسة,Umm Alquwain,أم القيوين,Non Goverment,غير حكومي,عام,General,8
2023-2024,School,مدرسة,Sharjah,الشارقة,Non Goverment,غير حكومي,عام,General,33
2023-2024,School,مدرسة,Fujairah,الفجيرة,Non Goverment,غير حكومي,عام,General,17
2023-2024,School,مدرسة,Dubai,دبي,Non Goverment,غير حكومي,عام,General,14
2023-2024,School,مدرسة,Ras Alkhaimah,رأس الخيمة,Non Goverment,غير حكومي,عام,General,35
2023-2024,School,مدرسة,Ajman,عجمان,Non Goverment,غير حكومي,عام,General,45
